DBN,School Name,Year,% English Language Learners
02M212,P.S. 212 Midtown West,2020-21,0.027439024299383163
02M212,P.S. 212 Midtown West,2021-22,0.027681661769747734
02M212,P.S. 212 Midtown West,2022-23,0.1768292635679245
02M217,P.S./I.S. 217 Roosevelt Island,2018-19,0.14100486040115356
02M217,P.S./I.S. 217 Roosevelt Island,2019-20,0.15156249701976776
02M217,P.S./I.S. 217 Roosevelt Island,2020-21,0.1548387110233307
02M217,P.S./I.S. 217 Roosevelt Island,2021-22,0.14680232107639313
02M217,P.S./I.S. 217 Roosevelt Island,2022-23,0.1553398072719574
02M225,Ella Baker School,2018-19,0.015432098880410194
02M225,Ella Baker School,2019-20,0.012048192322254181
02M225,Ella Baker School,2020-21,0.011661808006465435
02M225,Ella Baker School,2021-22,0.02821316570043564
02M225,Ella Baker School,2022-23,0.06948640197515488
02M234,P.S. 234 Independence School,2018-19,0.012539184652268887
02M234,P.S. 234 Independence School,2019-20,0.010971786454319954
02M234,P.S. 234 Independence School,2020-21,0.010729613713920116
02M234,P.S. 234 Independence School,2021-22,0.011013215407729149
02M234,P.S. 234 Independence School,2022-23,0.025316456332802773
02M255,M.S. 255 Salk School of Science,2018-19,0.0025380710139870644
02M255,M.S. 255 Salk School of Science,2019-20,0.002610966097563505
02M255,M.S. 255 Salk School of Science,2020-21,0.005540166050195694
02M255,M.S. 255 Salk School of Science,2021-22,0.0058823530562222
02M255,M.S. 255 Salk School of Science,2022-23,0.011019283905625343
02M260,The Clinton School,2018-19,0.002754820976406336
02M260,The Clinton School,2019-20,0
02M260,The Clinton School,2020-21,0.0025284450966864824
02M260,The Clinton School,2021-22,0.00390625
02M260,The Clinton School,2022-23,0.003811944043263793
02M267,"East Side Elementary School, PS 267",2018-19,0.04589372128248215
02M267,"East Side Elementary School, PS 267",2019-20,0.03652967885136604
02M267,"East Side Elementary School, PS 267",2020-21,0.032745592296123505
02M267,"East Side Elementary School, PS 267",2021-22,0.03100775182247162
02M267,"East Side Elementary School, PS 267",2022-23,0.041322313249111176
02M276,Battery Park City School,2018-19,0.03180212154984474
02M276,Battery Park City School,2019-20,0.03512880578637123
02M276,Battery Park City School,2020-21,0.036662451922893524
02M276,Battery Park City School,2021-22,0.05793103575706482
02M276,Battery Park City School,2022-23,0.044880785048007965
02M280,Manhattan Early College School for Advertising,2018-19,0.03846153989434242
02M280,Manhattan Early College School for Advertising,2019-20,0.047191012650728226
02M280,Manhattan Early College School for Advertising,2020-21,0.05869565159082413
02M280,Manhattan Early College School for Advertising,2021-22,0.057939913123846054
02M280,Manhattan Early College School for Advertising,2022-23,0.03826530650258064
02M281,The River School,2018-19,0.1745562106370926
02M281,The River School,2019-20,0.14454975724220276
02M281,The River School,2020-21,0.15250544250011444
02M281,The River School,2021-22,0.13318777084350586
02M281,The River School,2022-23,0.14069263637065887
02M282,Urban Assembly Maker Academy,2018-19,0.03846153989434242
02M282,Urban Assembly Maker Academy,2019-20,0.050574712455272675
02M282,Urban Assembly Maker Academy,2020-21,0.06404958665370941
02M282,Urban Assembly Maker Academy,2021-22,0.052941177040338516
