"Administrative District",Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
10,2020-21,50700,501,2918,3141,3407,3478,3723,3748,3761,3666,3541,3740,4103,3921,3616,3436,24881,0.4907495081424713,25819,0.5092505216598511,,,3959,0.07808678597211838,7484,0.14761340618133545,35213,0.6945365071296692,389,0.007672583684325218,430,0.008481262251734734,2995,0.05907297879457474,230,0.004536489024758339,10326,0.20366863906383514,10298,0.20311637222766876,42258,0.8334911465644836,0.8420462012290955
10,2021-22,48016,1634,2767,2870,2988,3105,3165,3446,3403,3234,3351,3379,4090,3754,3525,3305,23573,0.49094051122665405,24443,0.509059488773346,,,3771,0.07853632420301437,7067,0.14718011021614075,33163,0.690665602684021,445,0.009267743676900864,398,0.008288904093205929,2983,0.06212512403726578,189,0.003936187829822302,9643,0.2008288949728012,9656,0.20109963417053223,39063,0.8135412931442261,0.8199038505554199
10,2022-23,46014,1697,2756,2685,2840,2900,2968,3084,3296,3055,3056,3309,3941,3832,3455,3140,22593,0.49100273847579956,23415,0.5088668465614319,6,0.00013039509940426797,3504,0.07615073770284653,6721,0.14606423676013947,31604,0.686834454536438,463,0.010062155313789845,353,0.007671578321605921,2874,0.062459252774715424,495,0.010757595300674438,9098,0.1977224349975586,8889,0.19318033754825592,37691,0.8191202878952026,0.8305272459983826
11,2018-19,39666,0,3020,2848,2992,2944,3130,3295,3222,3189,3037,3105,2670,2316,1918,1980,18832,0.47476428747177124,20834,0.5252357125282288,,,3408,0.0859174132347107,15103,0.380754292011261,16830,0.42429283261299133,245,0.006176574621349573,518,0.013059043325483799,3477,0.08765693753957748,85,0.002142893150448799,8099,0.20417989790439606,4666,0.11763223260641098,31079,0.7835173606872559,0.772922933101654
11,2019-20,38538,139,3034,2610,2931,2853,2869,3108,3202,3016,3170,3094,2653,2211,1904,1744,18388,0.4771394431591034,20150,0.5228605270385742,,,3451,0.08954797685146332,14385,0.3732679486274719,16412,0.42586538195610046,273,0.007083917036652565,478,0.012403341941535473,3446,0.08941823989152908,93,0.002413202542811632,7688,0.19949141144752502,4316,0.11199335753917694,30805,0.7993409037590027,0.7947915196418762
11,2020-21,36222,75,2478,2360,2520,2788,2743,2774,3001,2888,2935,3167,2421,2301,1951,1820,17372,0.4795980453491211,18850,0.5204019546508789,,,3335,0.09207111597061157,13039,0.35997459292411804,15745,0.4346805810928345,298,0.008227044716477394,459,0.01267185714095831,3264,0.09011097997426987,82,0.002263817470520735,7478,0.20644912123680115,4357,0.1202860176563263,29200,0.8061398863792419,0.7949747443199158
11,2021-22,34491,1122,2380,2277,2321,2336,2575,2576,2589,2681,2748,2832,2413,2018,1872,1751,16556,0.4800092875957489,17935,0.5199907422065735,,,3217,0.09327071160078049,12228,0.3545272648334503,15028,0.43570786714553833,302,0.008755907416343689,420,0.012177089229226112,3159,0.09158910810947418,137,0.003972050733864307,6912,0.20040009915828705,4211,0.12208981812000275,27184,0.7881476283073425,0.7740892767906189
11,2022-23,33421,1239,2411,2286,2362,2329,2291,2536,2533,2424,2678,2747,2015,2155,1722,1693,16120,0.48233145475387573,17297,0.5175488591194153,4,0.00011968522449024022,2987,0.08937494456768036,11536,0.3451721966266632,14631,0.43777865171432495,300,0.008976392447948456,410,0.012267735786736012,3211,0.0960773155093193,346,0.010352772660553455,6674,0.19969479739665985,4151,0.12420334666967392,26621,0.7965351343154907,0.7943262457847595
12,2018-19,21955,0,1303,1566,1614,1695,1845,1815,1763,1552,1566,1665,1459,1449,1320,1343,10687,0.4867683947086334,11268,0.513231635093689,,,631,0.02874060533940792,5284,0.24067410826683044,15354,0.6993395686149597,63,0.002869505900889635,258,0.011751309037208557,339,0.015440674498677254,26,0.001184240449219942,5112,0.232839897274971,4472,0.2036893665790558,20233,0.9215668439865112,0.9271063804626465
12,2019-20,20980,184,1296,1493,1511,1574,1634,1778,1758,1505,1528,1571,1381,1464,1210,1093,10243,0.48822689056396484,10737,0.5117731094360352,,,627,0.029885604977607727,4993,0.23798856139183044,14613,0.6965205073356628,65,0.003098188666626811,229,0.01091515738517046,303,0.014442325569689274,150,0.0071496665477752686,4834,0.2304099202156067,4142,0.19742612540721893,19390,0.9242135286331177,0.9345139265060425
